Metamorphosis - Greenwich Village 1970 + 2013,greenwich@metamorphosis.com,Awesome Book man,11-Jan-14,ec2805@columbia.edu
Tragedy in Brawldown City,inquiries@brawldowncity.com,Should be cool,17-Jan-14,orang@brown.edu
Wishbone's First Release: An Album & Graphic Libretto,hp2116@columbia.edu,Why wouldn't you want more wishbone,12-Jan-14,rsmith@harvard.edu
Thatsapp,contact@thatsapp.com,Coolest exchange manager ever,20-Feb-14,hp2116@columbia.edu
eMersion,hello@emersion.com,Emerssive Immersionivistic,20-Feb-14,opritchard@brown.edu
Square Bicycles,SB@gmail.com,Round bicycles are so last century,21-Feb-14,a@jax.net
Flying Toasters,FT@gmail.com,flying toasters taste better toast,22-Feb-14,b@jax.net
Burning Burnt Toast,BBT@gmail.com,I like turtles,23-Feb-14,c@jax.net
The Set of all Sets,TSS@gmail.com,Does it include itself?,24-Feb-14,d@jax.net
Blinking Communication Device,BCD@gmail.com,Basically its a phone for people,25-Feb-14,e@jax.net
